Player_ID,Score,High_Score,Game_Duration,Snake_Speed,Hit_Border
P001,98,180,223,4,1
P002,203,377,90,5,0
P003,407,530,153,8,0
P004,248,252,277,7,0
P005,119,275,171,5,0
P006,77,98,247,6,0
P007,114,247,134,3,0
P008,373,482,229,10,0
P009,485,625,151,5,1
P010,234,234,206,9,0
P011,180,315,216,9,1
P012,345,470,66,10,0
P013,435,575,148,10,0
P014,357,408,203,4,1
P015,459,549,65,10,0
P016,258,294,294,7,1
P017,228,370,184,4,0
P018,320,503,62,5,0
P019,282,481,83,10,0
P020,237,303,105,9,0
P021,201,263,264,3,0
P022,106,306,244,6,0
P023,303,305,175,6,1
P024,140,272,117,10,0
P025,260,332,107,7,0
P026,220,263,169,6,1
P027,146,215,180,6,0
P028,111,145,153,9,0
P029,99,205,278,8,0
P030,459,502,177,9,1
P031,364,395,112,5,0
P032,95,111,214,8,1
P033,88,201,203,8,1
P034,354,489,206,4,0
P035,440,584,211,7,0
P036,116,188,223,7,1
P037,153,314,121,10,0
P038,70,198,151,9,0
P039,100,179,121,8,0
P040,480,516,78,9,0
P041,334,479,125,7,1
P042,201,305,166,8,1
P043,362,377,117,3,0
P044,281,341,210,4,1
P045,133,159,192,5,0
P046,430,471,143,5,1
P047,339,404,65,7,1
P048,159,327,96,5,1
P049,267,461,93,4,0
P050,435,534,113,7,1
